"Question","Answer"
"How do I request a new feature development or customization for our RedClouds ERP?","To request new feature development or customization, please submit a detailed request through our client portal under 'Development Requests'. Include a clear description of the desired functionality, business impact, and any specific requirements. Our team will review it and schedule a consultation."
"What is the typical development lifecycle for a custom ERP module?","The typical development lifecycle for a custom ERP module involves requirements gathering, design (functional and technical specifications), development, testing (unit, integration, UAT), deployment, and post-launch support. We follow an agile methodology to ensure flexibility and iterative delivery."
"How are software bugs or issues in our custom ERP modules reported and resolved?","Software bugs or issues in your custom ERP modules can be reported via our dedicated support portal. Please provide screenshots, steps to reproduce the issue, and the impact severity. Our development and support teams prioritize and resolve issues based on their impact and urgency."
"Can we integrate RedClouds ERP with our existing proprietary software solutions?","Yes, RedClouds ERP offers robust API capabilities and an Integration Hub designed to facilitate seamless connectivity with existing proprietary software solutions. Our development team can assist with custom API integrations to ensure smooth data flow and process automation."
"What is the process for upgrading our RedClouds ERP system to the latest version?","The process for upgrading your RedClouds ERP system begins with a consultation to assess compatibility and identify potential impacts on your custom modules. We then plan the upgrade schedule, perform data backups, execute the upgrade, and conduct thorough post-upgrade testing to ensure full functionality."
"How does RedClouds ensure data security during custom software development for ERP?","RedClouds ensures data security during custom software development through a multi-layered approach including secure coding practices, regular security audits, encryption of data at rest and in transit, strict access controls, and compliance with industry security standards."
"Can our internal development team collaborate with RedClouds on ERP customizations?","Absolutely! We encourage collaboration. Our team can work alongside your internal development team, providing access to our development environment, documentation, and expert guidance to ensure a cohesive and efficient customization process."
"What kind of documentation is provided for custom ERP developments?","For custom ERP developments, we provide comprehensive documentation including functional specifications, technical design documents, API documentation (if applicable), user guides for new features, and change logs. This ensures maintainability and future expandability."
"How long does it take to implement a new feature in our RedClouds ERP?","The timeframe for implementing a new feature in your RedClouds ERP depends on its complexity and scope. After the requirements are finalized, we provide an estimated timeline. Minor enhancements can be a few days, while larger features may take several weeks or months."
"What testing procedures are followed for new ERP software deployments?","For new ERP software deployments, we follow rigorous testing procedures including unit testing (individual components), integration testing (modules working together), system testing (entire solution), and user acceptance testing (UAT) with your key users to ensure all business requirements are met."
"Can we get a dedicated development resource for our long-term ERP needs?","Yes, for clients with ongoing or complex ERP development needs, we offer options for a dedicated development resource or a team. This ensures continuity, deep understanding of your specific requirements, and accelerated project delivery."
"How does RedClouds ERP handle version control for custom code?","RedClouds ERP utilizes industry-standard version control systems (like Git) for managing custom code. This allows for tracking changes, facilitating rollbacks, and enabling collaborative development while maintaining code integrity and stability."
"What is the process for migrating data from our legacy system to RedClouds ERP?","The data migration process involves data assessment, extraction from your legacy system, cleansing and transformation to fit the RedClouds ERP schema, loading into the new system, and verification. We use specialized tools and methodologies to ensure data accuracy and integrity."
"Does RedClouds provide training for our staff on new ERP customizations?","Yes, RedClouds provides comprehensive training for your staff on any new ERP customizations or modules. This can include on-site workshops, online sessions, and user manuals to ensure your team is proficient in using the updated system effectively."
"What support is available for third-party integrations with RedClouds ERP?","We offer extensive support for third-party integrations with RedClouds ERP, including API documentation, developer support, and consultation services to help you design and implement robust connections. We can also develop custom connectors if needed."
"Our ERP system is running very slowly, what could be the issue?","Slow performance in your RedClouds ERP system can stem from several factors, including large data queries, network latency, insufficient server resources, or unoptimized custom code. Please try clearing your browser cache and cookies first. If the issue persists, contact our support team with details of the affected module and typical usage patterns for diagnosis."
"I'm encountering an 'API connection failed' error during integration, how can I troubleshoot?","An 'API connection failed' error often indicates issues with API keys, endpoint URLs, network firewalls, or incorrect data formats. Please verify your API credentials, ensure the RedClouds ERP API endpoint is reachable, and check your network configuration. Review the API integration logs for specific error messages, which can provide more insight."
"How do I rollback a recent deployment of a custom ERP feature?","To rollback a recent deployment of a custom ERP feature, please refer to your project's version control system (e.g., Git repository for your custom code) and deployment documentation. Depending on your setup, this may involve reverting the codebase to a previous stable commit and redeploying. For critical systems, contact our deployment support for assistance."
"Data in one of our custom reports appears incorrect, what steps should I take?","If data in a custom report appears incorrect, first verify the data sources feeding the report and the report's filtering parameters. Check for recent data imports or manual entries that might have introduced discrepancies. If the issue persists, provide specific examples of the incorrect data and the report name to our support team for investigation."
"Our custom workflow is not triggering, what might be wrong?","If a custom workflow is not triggering, please check the defined trigger conditions to ensure they are met. Verify that all dependencies (e.g., other modules, external systems) are functioning correctly. Review the workflow's audit trail or logs within RedClouds ERP for any error messages or indications of why it failed to initiate."
"We are unable to export data from a new ERP module, what is the cause?","Inability to export data from a new ERP module can be due to permission restrictions, incorrect export format settings, or issues with the module's data export functionality. Ensure your user role has export privileges, check the selected file format (e.g., CSV, Excel), and confirm the module is fully deployed and configured. Contact support with module details."
"How can I test a new ERP customization in a staging environment before going live?","RedClouds recommends rigorous testing in a dedicated staging environment before any new ERP customization goes live. You can request a staging instance replication of your production environment. Our team will assist with deployment to staging, allowing your testers to perform comprehensive UAT without affecting live operations."
"We are getting 'permission denied' errors when accessing a specific ERP function.","'Permission denied' errors typically indicate that your user role does not have the necessary access rights for that specific ERP function. Please contact your system administrator to review your assigned roles and update your permissions as needed within the RedClouds ERP user management settings."
"Our custom integration with a payment gateway stopped working after an ERP update.","If your custom integration with a payment gateway stopped working after an ERP update, it's likely due to changes in API specifications or security protocols in the new ERP version. Please review the update's release notes for breaking changes, and check the payment gateway's integration logs. Our integration support team can help reconfigure or adapt the connector."
"How do I enable detailed logging for a specific ERP module for debugging?","To enable detailed logging for a specific ERP module for debugging purposes, you'll typically access the system's administration panel or configuration files. Look for logging settings where you can adjust the log level (e.g., from INFO to DEBUG or TRACE) for that module. Remember to revert logging levels after debugging to optimize performance. Consult the module's technical documentation."
"How do I reset my RedClouds ERP password if I've forgotten it?","To reset your RedClouds ERP password, please visit the login page and click on the 'Forgot Password?' link. Enter your registered email address, and a password reset link will be sent to your inbox. This link is valid for a limited time (e.g., 1 hour). If you do not receive the email, please check your spam folder or contact our support team."
"What should I do if I can't log in to RedClouds ERP even with the correct password?","If you're unable to log in to RedClouds ERP despite using the correct password, please try clearing your browser's cache and cookies, then restart your browser. Ensure there are no network issues or VPN conflicts. If the problem persists, your account might be locked due to multiple failed attempts or require a manual reset. Contact our support team for immediate assistance."
"How can I change my RedClouds ERP password once I'm logged in?","To change your RedClouds ERP password while logged in, navigate to your 'User Profile' or 'Settings' section. Look for a 'Change Password' or 'Security Settings' option. You will typically be asked to enter your current password, and then your new password twice. Remember to choose a strong, unique password."
"I'm a new user and can't log in for the first time. What steps should I take?","Welcome aboard! If you're a new user and cannot log in for the first time, ensure you are using the temporary credentials provided in your official onboarding email from RedClouds. You should be prompted to set a new password upon first successful login. If you haven't received your credentials or face issues, please reach out to your system administrator or our support team to verify your account setup."
"My account is locked due to too many failed login attempts, how can I unlock it?","If your RedClouds ERP account is locked due to too many failed login attempts, it's a security measure. The system usually has a lockout period (e.g., 30 minutes) after which you can try again. Alternatively, you can often use the 'Forgot Password?' link to initiate a reset, which might also unlock the account. For immediate access, contact your system administrator or RedClouds support to have your account manually unlocked."
